Field|Value
BOL|3010998
Carrier|DOC TRANSPORTATION
Start|2024-11-30 10:04:34
End|2024-11-30 10:15:20
Shipper Name|VAL MKTG-BRANDE
Shipper Address|ONE VALERO WAY, SAN ANTONIO, TX
Consignee Name|CALIFORNIA FUEL SUPPLY
Consignee Address|CA FUEL SUPPLY - UNBC, VARIOUS, OK
Product Name|DYED ULTRA LOW SULFUR
Gross Gallons|1201
Net Gallons|1199
Product Name|DYED ULTRA LOW SULFUR
Gross Gallons|2406
Net Gallons|2400
Product Name|DYED ULTRA LOW SULFUR
Gross Gallons|2600
Net Gallons|2595
Product Name|DYED ULTRA LOW SULFUR
Gross Gallons|1000
Net Gallons|998
Terminal Address|251 N. Sunnylane Road, Oklahoma City, OK 73117
