Field|Value
BOL|0758136
Carrier|KENAN PETROLEUM TRANSPORT, LL
Start|2024-01-06 19:51
End|2024-01-06 23:00
Shipper Name|MARATHON PETROLEUM COMPANY LP
Shipper Address|539 South Main Street Findlay, OH, 45840
Consignee Name|CALIFORNIA FUEL SUPPLY INC-VARIOUS N
Consignee Address|VARIOUS NV
Carrier Address|3565 WEST OLD HWY 80 MORGAN, UT, 84050
Truck|4729
Trailer|9976
Product Name|#2 Diesel MV 15 ppm (ULSD)
Gross Gallons|3900
Net Gallons|3828
Terminal Address|Pro Petroleum Las Vegas 4985 North Sloan Lane Las Vegas
